"Host","Share"
"172.28.1.100","Aca$"
"172.28.1.100","accounting$"
"172.28.1.100","acquisitions$"
"172.28.1.100","acquisitions$"
"172.28.1.100","applicationResources$"
"172.28.1.100","appraisals$"
"172.28.1.100","Apps"
"172.28.1.100","audit$"
"172.28.1.100","automation$"
"172.28.1.100","branch$"
"172.28.1.100","broker_reporting$"
"172.28.1.100","building$"
"172.28.1.100","building$"
"172.28.1.100","Centrax11Beta"
"172.28.1.100","credit"
"172.28.1.100","credit$"
"172.28.1.100","crew$"
"172.28.1.100","ctxfiles$"
"172.28.1.100","customer"
"172.28.1.100","customerrecords$"
"172.28.1.100","d$"
"172.28.1.100","Departments"
"172.28.1.100","E$"
"172.28.1.100","emailedreports$"
"172.28.1.100","EmployeeLoans$"
"172.28.1.100","EmployeePhotos"
"172.28.1.100","Escrow_analysis"
"172.28.1.100","F$"
"172.28.1.100","fnac-na$"
"172.28.1.100","fnba$"
"172.28.1.100","fncdc$"
"172.28.1.100","FSW$"
"172.28.1.100","geeks$"
"172.28.1.100","ImprivataBackups$"
"172.28.1.100","Install$"
"172.28.1.100","Invoicing"
"172.28.1.100","Invoicing"
"172.28.1.100","iPhoto$"
"172.28.1.100","iTech$"
"172.28.1.100","magicwriter$"
"172.28.1.100","mms$"
"172.28.1.100","payment"
"172.28.1.100","payroll$"
"172.28.1.100","print$"
"172.28.1.100","publishing$"
"172.28.1.100","Remote$"
"172.28.1.100","rose$"
"172.28.1.100","SQLZeroClone$"
"172.28.1.100","Temp"
"172.28.1.100","Users"
"172.28.1.100","warehouse$"
"172.28.1.100","WarehouseImages$"
"172.28.1.100","WarehouseImages$"
